organization,district,timestamp,pm25_value,pm25_citywide,latitude,longitude,flag_ถนน,flag_ทางเท้า,flag_แสงสว่าง,flag_ความสะอาด,flag_ขยะ,flag_น้ำท่วม,flag_ระบายน้ำ,flag_จราจร,flag_สายไฟ,flag_ต้นไม้,flag_ความปลอดภัย,flag_สัตว์,flag_เสียง,flag_กลิ่น,flag_สะพาน,flag_คลอง,report_hour
"เขตดินแดง,ฝ่ายโยธา เขตดินแดง,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),ผอ.เขตดินแดง (นายชูชาติ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ดินแดง,2022-12-13T10:58:41.996Z,26.0,26.658227848101266,100.56901,13.76483,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
"เขตพญาไท,ฝ่ายโยธา เขตพญาไท,การไฟฟ้านครหลวง เขตสามเสน,การไฟฟ้านครหลวง MEA,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พญาไท,2022-12-13T11:03:07.594Z,26.0,26.658227848101266,100.537,13.78569,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"เขตพญาไท,ฝ่ายเทศกิจ เขตพญาไท,ผอ.เขตพญาไท (นายพัลลภ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",พญาไท,2022-12-13T11:11:12.653Z,26.0,26.658227848101266,100.54564,13.78242,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"เขตบางขุนเทียน,สำนักงานสัตวแพทย์สาธารณสุข สำนักอนามัย กทม.",บางขุนเทียน,2022-12-13T11:15:35.861Z,33.0,26.658227848101266,100.41935,13.63347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11
"ส่วนก่อสร้าง (สกส.กรร.สสล.),เขตบางกะปิ,การประปานครหลวง กปน. (Metropolitan Waterworks Authority - MWA),สำนักงานประปาสาขาลาดพร้าว สสล.",บางกะปิ,2022-12-13T11:23:23.918Z,24.0,26.658227848101266,100.6372,13.78105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11
"เขตธนบุรี,สน.ตลาดพลู,สำนักงานตำรวจแห่งชาติ (Royal Thai Police),กองบัญชาการตำรวจนครบาล (บช.น.),กองบังคับการตำรวจนครบาล 8 (บก.น.8),ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-12-13T11:29:55.701Z,29.0,26.658227848101266,100.47758,13.71893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"เขตบางกะปิ,สำนักการโยธา กทม.,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี),กองควบคุมการก่อสร้าง สำนักการโยธา (กคส.สนย.) กทม.,กลุ่มงานควบคุมการก่อสร้าง 1 กองควบคุมการก่อสร้าง (กคส.สนย.)",บางกะปิ,2022-12-13T11:55:19.549Z,24.0,26.658227848101266,100.64794,13.76655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"เขตวังทองหลาง,ฝ่ายโยธา เขตวังทองหลาง,การไฟฟ้านครหลวง เขตนวลจันทร์,การไฟฟ้านครหลวง MEA,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",วังทองหลาง,2022-12-13T11:57:29.247Z,22.0,26.658227848101266,100.60547,13.75506,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
"เขตธนบุรี,ฝ่ายโยธา เขตธนบุรี,ผอ.เขตธนบุรี (ว่าที่ ร.ต.เดชาธร),กลุ่มกรุงธนเหนือ (นายเฉลิมพล โชตินุชิต)",ธนบุรี,2022-12-13T12:01:44.897Z,29.0,26.658227848101266,100.49556,13.73573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"เขตหลักสี่,ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",หลักสี่,2022-12-13T12:04:51.516Z,23.0,26.658227848101266,100.56263,13.8627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"เขตบางนา,บริษัท โทรคมนาคมแห่งชาติ จำกัด (มหาชน),การไฟฟ้านครหลวง เขตบางนา,การไฟฟ้านครหลวง MEA",บางนา,2022-12-13T12:11:22.237Z,34.5,26.658227848101266,100.63608,13.66621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12
"เขตบางขุนเทียน,ผอ.เขตบางขุนเทียน (นางภัสรา),กลุ่มกรุงธนใต้ (นายเฉลิมพล โชตินุชิต)",บางขุนเทียน,2022-12-13T12:17:01.193Z,33.0,26.658227848101266,100.38366,13.60114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"เขตบางนา,ฝ่ายพัฒนาชุมชนฯ เขตบางนา,ผอ.เขตบางนา (นางประภัสสร),กลุ่มกรุงเทพใต้ (นายชาตรี วัฒนเขจร)",บางนา,2022-12-13T12:23:46.307Z,34.5,26.658227848101266,100.61002,13.67897,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"เขตบางซื่อ,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักงานระบบขนส่ง สขส.สจส. กทม.,กลุ่มงานบริหารทรัพย์สิน สขส.สจส. กทม.,ผอ.เขตบางซื่อ (นายเจษฎา),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",บางซื่อ,2022-12-13T12:39:12.807Z,28.0,26.658227848101266,100.52964,13.82915,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"เขตหลักสี่,กรมทางหลวง,การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทย (รฟม.)",หลักสี่,2022-12-13T12:47:58.624Z,23.0,26.658227848101266,100.58037,13.88506,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12
"เขตหลักสี่,ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",หลักสี่,2022-12-13T12:52:18.353Z,23.0,26.658227848101266,100.54811,13.85445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12
"เขตบางกะปิ,สำนักการจราจรและขนส่ง กรุงเทพมหานคร (สจส. กทม.),สำนักงานวิศวกรรมจราจร สวจ.สจส. กทม.,กลุ่มงานเครื่องหมายจราจร 1 สวจ.สจส. กทม.,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-12-13T13:03:36.347Z,24.0,26.658227848101266,100.60968,13.75127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
"เขตวังทองหลาง,สำนักการระบายน้ำ กทม.,ฝ่ายโยธา เขตวังทองหลาง,กองระบบคลอง สำนักการระบายน้ำ,สำนักงานระบบควบคุมน้ำ สำนักการระบายน้ำ,ผอ.เขตวังทองหลาง (นายโครงการ),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",วังทองหลาง,2022-12-13T13:03:51.930Z,22.0,26.658227848101266,100.61261,13.77826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13
"เขตบางกะปิ,ฝ่ายรักษาความสะอาดฯ เขตบางกะปิ,ผอ.เขตบางกะปิ (นายไพรัตน์),กลุ่มกรุงเทพตะวันออก (นายณรงค์ เรืองศรี)",บางกะปิ,2022-12-13T13:19:05.038Z,24.0,26.658227848101266,100.63351,13.75109,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
"เขตหลักสี่,ผอ.เขตหลักสี่ (นางสมฤดี),กลุ่มกรุงเทพเหนือ (นางวันทนีย์ วัฒนะ)",หลักสี่,2022-12-13T13:41:59.161Z,23.0,26.658227848101266,100.58451,13.88308,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
"เขตห้วยขวาง,ฝ่ายโยธา เขตห้วยขวาง,การไฟฟ้านครหลวง เขตสามเสน,การไฟฟ้านครหลวง MEA,ผอ.เขตห้วยขวาง (นายไพฑูรย์),กลุ่มกรุงเทพกลาง (นายสุขสันต์ กิตติศุภกร)",ห้วยขวาง,2022-12-13T14:07:15.155Z,9.0,26.658227848101266,100.58135,13.78295,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14
